"comicName","comicSummary","comicGrade"
"악마소녀","악마소녀","9.64"
"新조선왕조실록","조선왕조인계자이야기","9.84"
"반연(絆緣)","토요일 저녁에만나요","9.91"
"껌은고양이뇌로","고양이 성 탈출극","9.83"
"11me(열하나)","잘생긴 내가 11명","9.85"
"좋은날","학원로맨스","9.86"
"블랙옐로","완결은 팬카페에","9.01"
"치와와의오후","알콩달콩 연애툰","9.90"
"사랑이올까요","과연 사랑이 올까요","9.59"
"가타부타타","이래저래 가타부타","9.87"
"즐거운생활","재주의 사회생활.","8.04"
"9등급뒤집기","수능 대박 프로젝트","8.59"
"낭떠러지밖으로점프","뭔가 이상한 아파트","9.77"
"사소한일로계약","사소한 걸로 계약함","9.53"
"음대놈들","음대생들의 일상","9.91"
"나의일본인친구","일본에서의 인연","9.86"
"결혼생활그림일기","스펙타클 결혼생활","9.90"
"여의도","여의도 좀비서바이벌","9.76"
"이또한지나갈까?","제품 개발자 이야기","8.92"
"루커피쳐","PICTURE","9.92"
"^-^(캐럿하이픈캐럿)","캐하캐","9.44"
"용애어부가","용과 어부 사랑노래","9.93"
"머리카락을뽑으면","미스터리 학원추리물","9.80"
"나만아는사랑","짝사랑 로맨스","9.85"
"주말엔보랏빛향기","성우지망생의 주말","9.77"
"지켜라!여의주!","그녀의비밀을지켜줘!","9.71"
"애쉬그레이","판타지","9.90"
"개판오분전","방과후고교생활이야기","9.72"
"합법해적파르페","공주님은 해적.","9.94"
"사랑하는제자들","나갈 수 없는 학교","9.84"
"결혼은싫어","독신주의자에게 나타난 신랑감들","9.73"
"일단은프리터입니다.","프리터족 이야기.","9.79"
"우주n은하","우주에서 온 소녀들","9.87"
"솔체","이루지못한시작의일기","9.39"
"메이커","뭐든지 만든다.","9.77"
"교환일기","왕따소녀의 교환일기","9.65"
"견우화","부도덕한 도사","9.93"
"어디사세요?","맞춤형아파트프로젝트","9.88"
"소금물방","오피스 블록버스터","9.88"
"시선이교차하는곳","과거와 미래를 보다","9.92"
"몽글이","멍멍이가 학교가","9.74"
"꼬맹이를부탁해!","꼬맹이와의 일상!","9.93"
"티레시아스","판타지 순정만화","9.86"
"시선의차이","변화하는 고교생활","9.37"
"인생맛집","주관적인 맛집이야기","9.90"
"어느남고생의하루","말하는강아지와의일상","9.88"
"아파지는중입니다","청춘남녀 성장로맨스","9.75"
"행복을찾다.","소녀의 행복은 현재 진행형?","9.87"
"그녀의거리","그와 그녀의 거리","9.91"
"인어를위한수영교실","성장 로맨스","9.94"
"아옹아옹","두식이 냥육일기","9.93"
"병","소년에서 군인으로","9.78"
"B텐더","술과 사람의 이야기","9.79"
"세이의RPG","게임 판타지","9.73"
"그의박물관엔수상한미라가있다.","고고학 로맨스","9.89"
"찌질라이프","찌질 라이프","9.37"
"버티고","버티고","9.71"
"불릿6미리","에어소프트건서바이벌","9.72"
"용사를물리쳐라!","용사를 물리쳐라!","9.90"
"나라면절대안그래","나라면 절대 안그래","9.49"
"가려진대화","익명으로 보는 내면","9.88"
"예서중유나!","예서중1학년 유나♡","9.38"
"힘내라봉산댁!","촌에도 청춘은 있다!","9.90"
"블랙메일","우체부 이야기.","9.06"
"오마이갓","신을 뽑는 오디션","9.62"
"CAFE_쉬어가게","누구나 쉬어가는 곳","9.89"
"고향집","아늑하고 편안해야할","9.83"
"신이없는세계","깨비깨비 도깨비","9.90"
"혼자앤피스","인생은 혼자","9.79"
"밤의아이들은누가듣는가","다장르 단편 모음","9.92"
"요괴백정","요괴사냥 판타지","9.87"
"거미의상자","일하는악마는 피곤해","9.90"
"뿅가이","간다 간다 뿅간다♡","9.86"
"우울의바다","그깊은곳에대하여","9.41"
"밀지","독살사건의 음모","9.74"
"우민이와팬티요정","미미는 팬티요정","9.13"
"오늘도랄라","평범하진 않은 가족이야기","9.74"
"전염소녀","행복은 전염된다.","9.86"
"어느새스며든","삼각관계","9.65"
"모죠의일지","유잼인생","9.89"
"드림캡슐(DreamCapsule)","자유연재","9.89"
"헛헛하다","daily life","9.76"
"반","소년이여 성장하라!","9.84"
"달맞이꽃","동양판타지","9.86"
"말랑말랑생활사","말랑말랑한 생활","9.72"
"하루한끼감정일기","아기자기힐링 음식툰","9.84"
"강호열전","강호의 여러 인간상","9.91"
"멍멍이랑","멍멍","9.89"
"유포리아","댄싱 학원물","9.73"
"모솔탈출일대기","모쏠 탈출 일대기!","9.64"
"루미인싸이드","청춘가족휴먼스토리","9.87"
"땅보고걷는아이","가정폭력을 그린 만화","9.88"
"블래커","범죄예측시스템","9.76"
"테이커","17살의 킬러","9.84"
"왕자님을찾아라!","왕자찾기 프로젝트","9.88"
"4년째신혼일기","4년차부부의리얼일상","9.76"
"봄이와","결혼도 처음 육아도 처음 초보부부의 육아분투기","9.63"
"단편들","단편만화","9.91"
"러브햄츄얼리","햄지 연애 성공기","9.70"
"미용사","전직용사 현직미용사","9.79"
"단편만화","단편 이야기","9.28"
"DJ카일하우스","DJ아빠와 중2아들","9.83"
"리베르","리베르","9.32"
"정불고교","정체불명 고등학교!","9.62"
"지독한악연","내 인생에서 꺼져","8.81"
"방안의코끼리","친구충과 직진연하남","9.83"
"우주광부","죽음, 그리고 우주","9.71"
"짠이쨍아","엉뚱 발랄 가족툰","9.66"
"어린공주","코믹 동화 판타지","9.93"
"판타지를기대하지마","수상한 사람이 왔다","9.84"
"악마의성불사무소","악마와 소년","9.89"
"포갓(FOURGOD)","열심히 일하는 신","9.87"
"신과인간","신과 인간의 이야기","9.89"
"내이름을불러줘","엄마인 삶에서 여성의 삶으로 성장하는 스토리","9.79"
"취사병전설이되다","군대요리 판타지만화","9.91"
"오늘도오셨네요","김직원입니다","9.25"
"우주의수호천사","우주의 수호천사!","9.88"
"버찌와나","집사와 아기 고양이","9.91"
"설레이는나날","고양이 반려일상!","9.90"
"나의영원한","덕메이트가 생기다","9.66"
"반짝반짝빛나는","반짝반짝빛나는","9.88"
"아이테르","현대 판타지","9.86"
"오늘은영웅","한 사람만의 영웅","9.78"
